Timestamp,Incompleted_count
2025-03-02T00:00:00.342961Z,16
2025-03-02T00:00:03.342815Z,14
2025-03-02T00:00:06.343189Z,14
2025-03-02T00:00:09.342767Z,10
2025-03-02T00:00:12.342678Z,9
2025-03-02T00:00:15.342594Z,16
2025-03-02T00:00:18.342596Z,16
2025-03-02T00:00:21.343071Z,16
2025-03-02T00:00:24.343500Z,16
2025-03-02T00:00:27.342610Z,15
2025-03-02T00:00:30.342640Z,16
2025-03-02T00:00:33.343481Z,15
2025-03-02T00:00:36.343336Z,16
2025-03-02T00:00:39.342601Z,11
2025-03-02T00:00:42.342498Z,11
2025-03-02T00:00:45.342761Z,12
2025-03-02T00:00:48.342537Z,15
2025-03-02T00:00:51.343003Z,15
2025-03-02T00:00:54.342676Z,13
2025-03-02T00:00:57.343328Z,12
2025-03-02T00:01:00.342681Z,12
2025-03-02T00:01:03.342742Z,9
2025-03-02T00:01:06.342570Z,12
2025-03-02T00:01:09.342602Z,11
2025-03-02T00:01:12.342697Z,11
2025-03-02T00:01:15.342937Z,9
2025-03-02T00:01:18.342515Z,16
2025-03-02T00:01:21.342787Z,16
2025-03-02T00:01:24.343238Z,14
2025-03-02T00:01:27.343173Z,13
2025-03-02T00:01:30.343096Z,12
2025-03-02T00:01:33.342598Z,11
2025-03-02T00:01:36.343145Z,10
2025-03-02T00:01:39.342510Z,10
2025-03-02T00:01:42.342818Z,9
2025-03-02T00:01:45.343060Z,9
2025-03-02T00:01:48.343013Z,11
2025-03-02T00:01:51.342651Z,10
2025-03-02T00:01:54.343121Z,12
2025-03-02T00:01:57.342843Z,10
2025-03-02T00:02:00.342835Z,10
2025-03-02T00:02:03.343035Z,10
2025-03-02T00:02:06.343082Z,12
2025-03-02T00:02:09.342977Z,11
2025-03-02T00:02:12.342988Z,10
2025-03-02T00:02:15.342840Z,9
2025-03-02T00:02:18.342479Z,16
2025-03-02T00:02:21.342707Z,16
2025-03-02T00:02:24.342519Z,10
2025-03-02T00:02:27.343321Z,10
2025-03-02T00:02:30.342714Z,14
2025-03-02T00:02:33.343455Z,16
2025-03-02T00:02:36.343391Z,11
2025-03-02T00:02:39.342580Z,10
2025-03-02T00:02:42.342968Z,12
2025-03-02T00:02:45.342664Z,13
2025-03-02T00:02:48.343042Z,13
2025-03-02T00:02:51.342839Z,9
2025-03-02T00:02:54.343065Z,10
2025-03-02T00:02:57.343500Z,10
2025-03-02T00:03:00.343373Z,10
2025-03-02T00:03:03.343448Z,10
2025-03-02T00:03:06.343354Z,10
2025-03-02T00:03:09.343322Z,10
2025-03-02T00:03:12.343487Z,9
2025-03-02T00:03:15.343444Z,3
2025-03-02T00:03:18.342487Z,3
2025-03-02T00:03:21.342685Z,10
2025-03-02T00:03:24.342843Z,11
2025-03-02T00:03:27.343492Z,11
2025-03-02T00:03:30.343471Z,11
2025-03-02T00:03:33.343399Z,12
2025-03-02T00:03:36.343420Z,11
2025-03-02T00:03:39.343316Z,16
2025-03-02T00:03:42.342982Z,16
2025-03-02T00:03:45.342594Z,12
2025-03-02T00:03:48.342495Z,12
2025-03-02T00:03:51.343492Z,9
2025-03-02T00:03:54.342833Z,10
2025-03-02T00:03:57.343362Z,11
2025-03-02T00:04:00.343489Z,10
2025-03-02T00:04:03.342894Z,10
2025-03-02T00:04:06.343505Z,12
2025-03-02T00:04:09.342870Z,11
2025-03-02T00:04:12.343353Z,12
2025-03-02T00:04:15.342637Z,12
2025-03-02T00:04:18.342477Z,16
2025-03-02T00:04:21.343433Z,16
2025-03-02T00:04:24.342583Z,10
2025-03-02T00:04:27.342933Z,9
2025-03-02T00:04:30.343260Z,9
2025-03-02T00:04:33.342975Z,10
2025-03-02T00:04:36.342582Z,11
2025-03-02T00:04:39.342611Z,12
2025-03-02T00:04:42.343486Z,13
2025-03-02T00:04:45.342867Z,11
2025-03-02T00:04:48.342717Z,10
2025-03-02T00:04:51.343422Z,10
2025-03-02T00:04:54.343480Z,11
2025-03-02T00:04:57.342555Z,11
2025-03-02T00:05:00.342563Z,12
