Timestamp,ScratchPad,Loading,PadMix,Hit
2025-03-02T00:04:24.788279Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:04:29.789125Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:04:34.789880Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:04:39.791449Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:04:44.793107Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:04:49.793934Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:04:54.795377Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:04:59.795555Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:04.797435Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:09.798904Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:14.799800Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:19.801349Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:24.801804Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:29.803073Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:34.803768Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:39.804665Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:44.805731Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:49.806556Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:54.807675Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:05:59.808915Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:04.809987Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:09.810897Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:14.811557Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:19.812716Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:24.813805Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:29.814434Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:34.815794Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:39.816555Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:44.817872Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:49.819179Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:54.820177Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:06:59.820886Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:04.821996Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:09.823083Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:14.823406Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:19.824765Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:24.825996Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:29.826660Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:34.827963Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:39.828870Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:44.830136Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:49.830525Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:54.831988Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:07:59.832712Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:04.834424Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:09.835461Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:14.836810Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:19.837978Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:24.839085Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:29.839906Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:34.840933Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:39.841763Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:44.843036Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:49.843559Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:54.844496Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:08:59.846034Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:04.847391Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:09.847578Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:14.848728Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:19.850453Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:24.851749Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:29.852613Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:34.853505Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:39.855196Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:44.856268Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:49.856888Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:54.858368Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:09:59.858686Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:04.859796Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:09.860870Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:14.862180Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:19.862462Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:24.863439Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:29.864466Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:34.865750Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:39.866739Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:44.868356Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:49.868659Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:54.870130Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:10:59.870686Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:04.872434Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:09.873566Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:14.875258Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:19.876289Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:24.877312Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:29.878305Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:34.878741Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:39.880330Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:44.880901Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:49.881522Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:54.883095Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:11:59.883863Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:04.885183Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:09.886041Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:14.887074Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:19.887407Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:24.888807Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:29.889820Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:34.890712Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:39.892451Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:44.893859Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:49.895255Z,5719893494,5719893494,41090055072,8863
2025-03-02T00:12:54.895474Z,5719896167,5719896167,41090118632,8863
2025-03-02T00:12:59.896998Z,5719901906,5719901906,41090254401,8863
2025-03-02T00:13:04.897762Z,5719907702,5719907702,41090392958,8863
2025-03-02T00:13:09.898558Z,5719913584,5719913584,41090535018,8863
2025-03-02T00:13:14.899455Z,5719919426,5719919426,41090673925,8863
2025-03-02T00:13:19.900663Z,5719925185,5719925185,41090811238,8863
