TxSeq,StratTime,EndTime,TimeUse
5297996,2025-03-02T20:41:51.819382Z,2025-03-02T20:41:51.819388Z,6
5297997,2025-03-02T20:41:57.463233Z,2025-03-02T20:41:57.463240Z,7
5297998,2025-03-02T20:41:57.463223Z,2025-03-02T20:41:57.463231Z,8
5297999,2025-03-02T20:41:57.615257Z,2025-03-02T20:41:57.615266Z,9
5298000,2025-03-02T20:41:57.615257Z,2025-03-02T20:41:57.615265Z,8
5298001,2025-03-02T20:42:03.763652Z,2025-03-02T20:42:03.763656Z,4
5298002,2025-03-02T20:42:03.763643Z,2025-03-02T20:42:03.763648Z,5
5298003,2025-03-02T20:42:03.763644Z,2025-03-02T20:42:03.763647Z,3
5298004,2025-03-02T20:42:03.763637Z,2025-03-02T20:42:03.763645Z,8
5298005,2025-03-02T20:42:09.991383Z,2025-03-02T20:42:09.991383Z,0
5298006,2025-03-02T20:42:09.991372Z,2025-03-02T20:42:09.991380Z,8
5298007,2025-03-02T20:42:09.991372Z,2025-03-02T20:42:09.991379Z,7
5298008,2025-03-02T20:42:09.991386Z,2025-03-02T20:42:09.991393Z,7
5298009,2025-03-02T20:42:09.991371Z,2025-03-02T20:42:09.991379Z,8
5298010,2025-03-02T20:42:15.618608Z,2025-03-02T20:42:15.618621Z,13
5298011,2025-03-02T20:42:15.618624Z,2025-03-02T20:42:15.618627Z,3
5298012,2025-03-02T20:42:15.618618Z,2025-03-02T20:42:15.618624Z,6
5298013,2025-03-02T20:42:15.618627Z,2025-03-02T20:42:15.618628Z,1
5298014,2025-03-02T20:42:15.618628Z,2025-03-02T20:42:15.618629Z,1
5298015,2025-03-02T20:42:15.618610Z,2025-03-02T20:42:15.618625Z,15
5298016,2025-03-02T20:42:21.853080Z,2025-03-02T20:42:21.853082Z,2
5298017,2025-03-02T20:42:21.853068Z,2025-03-02T20:42:21.853075Z,7
5298018,2025-03-02T20:42:21.853078Z,2025-03-02T20:42:21.853084Z,6
5298019,2025-03-02T20:42:21.853065Z,2025-03-02T20:42:21.853077Z,12
5298020,2025-03-02T20:42:27.480720Z,2025-03-02T20:42:27.480725Z,5
5298021,2025-03-02T20:42:33.779173Z,2025-03-02T20:42:33.779174Z,1
5298022,2025-03-02T20:42:33.779164Z,2025-03-02T20:42:33.779171Z,7
5298023,2025-03-02T20:42:33.779173Z,2025-03-02T20:42:33.779180Z,7
5298024,2025-03-02T20:42:33.779160Z,2025-03-02T20:42:33.779168Z,8
5298025,2025-03-02T20:42:40.205757Z,2025-03-02T20:42:40.205763Z,6
5298026,2025-03-02T20:42:40.205748Z,2025-03-02T20:42:40.205755Z,7
5298027,2025-03-02T20:42:40.361695Z,2025-03-02T20:42:40.361696Z,1
5298028,2025-03-02T20:42:40.361688Z,2025-03-02T20:42:40.361692Z,4
5298029,2025-03-02T20:42:40.361695Z,2025-03-02T20:42:40.361697Z,2
5298030,2025-03-02T20:42:40.361683Z,2025-03-02T20:42:40.361693Z,10
5298031,2025-03-02T20:42:45.784564Z,2025-03-02T20:42:45.784568Z,4
5298032,2025-03-02T20:42:45.784548Z,2025-03-02T20:42:45.784556Z,8
5298033,2025-03-02T20:42:45.784556Z,2025-03-02T20:42:45.784559Z,3
5298034,2025-03-02T20:42:45.784561Z,2025-03-02T20:42:45.784562Z,1
5298035,2025-03-02T20:42:45.784547Z,2025-03-02T20:42:45.784555Z,8
5298036,2025-03-02T20:42:52.009044Z,2025-03-02T20:42:52.009049Z,5
5298037,2025-03-02T20:42:52.009028Z,2025-03-02T20:42:52.009035Z,7
5298038,2025-03-02T20:42:52.009029Z,2025-03-02T20:42:52.009034Z,5
5298039,2025-03-02T20:42:52.009039Z,2025-03-02T20:42:52.009041Z,2
5298040,2025-03-02T20:42:52.009028Z,2025-03-02T20:42:52.009035Z,7
5298041,2025-03-02T20:42:57.595898Z,2025-03-02T20:42:57.595905Z,7
5298042,2025-03-02T20:43:03.835031Z,2025-03-02T20:43:03.835032Z,1
5298043,2025-03-02T20:43:03.835032Z,2025-03-02T20:43:03.835034Z,2
5298044,2025-03-02T20:43:03.835020Z,2025-03-02T20:43:03.835027Z,7
5298045,2025-03-02T20:43:03.835021Z,2025-03-02T20:43:03.835026Z,5
5298046,2025-03-02T20:43:03.835030Z,2025-03-02T20:43:03.835034Z,4
5298047,2025-03-02T20:43:03.835016Z,2025-03-02T20:43:03.835026Z,10
5298048,2025-03-02T20:43:09.408608Z,2025-03-02T20:43:09.408617Z,9
5298049,2025-03-02T20:43:09.408621Z,2025-03-02T20:43:09.408629Z,8
5298050,2025-03-02T20:43:09.408623Z,2025-03-02T20:43:09.408625Z,2
5298051,2025-03-02T20:43:09.408610Z,2025-03-02T20:43:09.408618Z,8
5298052,2025-03-02T20:43:15.666255Z,2025-03-02T20:43:15.666261Z,6
5298053,2025-03-02T20:43:15.666266Z,2025-03-02T20:43:15.666273Z,7
5298054,2025-03-02T20:43:15.666252Z,2025-03-02T20:43:15.666260Z,8
5298055,2025-03-02T20:43:27.751772Z,2025-03-02T20:43:27.751781Z,9
5298056,2025-03-02T20:43:34.151143Z,2025-03-02T20:43:34.151150Z,7
5298057,2025-03-02T20:43:34.151153Z,2025-03-02T20:43:34.151161Z,8
5298058,2025-03-02T20:43:34.151154Z,2025-03-02T20:43:34.151155Z,1
5298059,2025-03-02T20:43:34.151143Z,2025-03-02T20:43:34.151149Z,6
5298060,2025-03-02T20:43:34.306731Z,2025-03-02T20:43:34.306742Z,11
5298061,2025-03-02T20:43:34.306738Z,2025-03-02T20:43:34.306743Z,5
5298062,2025-03-02T20:43:34.306743Z,2025-03-02T20:43:34.306749Z,6
5298063,2025-03-02T20:43:34.306731Z,2025-03-02T20:43:34.306741Z,10
5298064,2025-03-02T20:43:39.732578Z,2025-03-02T20:43:39.732580Z,2
5298065,2025-03-02T20:43:39.732569Z,2025-03-02T20:43:39.732574Z,5
5298066,2025-03-02T20:43:39.732580Z,2025-03-02T20:43:39.732586Z,6
5298067,2025-03-02T20:43:39.732564Z,2025-03-02T20:43:39.732573Z,9
5298068,2025-03-02T20:43:46.059162Z,2025-03-02T20:43:46.059170Z,8
5298069,2025-03-02T20:43:46.059181Z,2025-03-02T20:43:46.059182Z,1
5298070,2025-03-02T20:43:46.059176Z,2025-03-02T20:43:46.059178Z,2
5298071,2025-03-02T20:43:46.059180Z,2025-03-02T20:43:46.059183Z,3
5298072,2025-03-02T20:43:46.059176Z,2025-03-02T20:43:46.059183Z,7
5298073,2025-03-02T20:43:46.059180Z,2025-03-02T20:43:46.059181Z,1
5298074,2025-03-02T20:43:46.059185Z,2025-03-02T20:43:46.059187Z,2
5298075,2025-03-02T20:43:46.059185Z,2025-03-02T20:43:46.059190Z,5
5298076,2025-03-02T20:43:46.059184Z,2025-03-02T20:43:46.059185Z,1
5298077,2025-03-02T20:43:46.059168Z,2025-03-02T20:43:46.059176Z,8
5298078,2025-03-02T20:43:51.720674Z,2025-03-02T20:43:51.720681Z,7
5298079,2025-03-02T20:43:58.204350Z,2025-03-02T20:43:58.204355Z,5
5298080,2025-03-02T20:43:58.204336Z,2025-03-02T20:43:58.204341Z,5
5298081,2025-03-02T20:43:58.204340Z,2025-03-02T20:43:58.204347Z,7
5298082,2025-03-02T20:43:58.204343Z,2025-03-02T20:43:58.204344Z,1
5298083,2025-03-02T20:43:58.204334Z,2025-03-02T20:43:58.204340Z,6
5298084,2025-03-02T20:44:03.781710Z,2025-03-02T20:44:03.781716Z,6
5298085,2025-03-02T20:44:15.568993Z,2025-03-02T20:44:15.569006Z,13
5298086,2025-03-02T20:44:15.568992Z,2025-03-02T20:44:15.569004Z,12
5298087,2025-03-02T20:44:21.872914Z,2025-03-02T20:44:21.872916Z,2
5298088,2025-03-02T20:44:21.872901Z,2025-03-02T20:44:21.872911Z,10
5298089,2025-03-02T20:44:21.872922Z,2025-03-02T20:44:21.872925Z,3
5298090,2025-03-02T20:44:21.872916Z,2025-03-02T20:44:21.872922Z,6
5298091,2025-03-02T20:44:21.872921Z,2025-03-02T20:44:21.872923Z,2
5298092,2025-03-02T20:44:21.872915Z,2025-03-02T20:44:21.872920Z,5
5298093,2025-03-02T20:44:21.872914Z,2025-03-02T20:44:21.872916Z,2
5298094,2025-03-02T20:44:21.872918Z,2025-03-02T20:44:21.872919Z,1
5298095,2025-03-02T20:44:21.872918Z,2025-03-02T20:44:21.872920Z,2
5298096,2025-03-02T20:44:21.872905Z,2025-03-02T20:44:21.872910Z,5
5298097,2025-03-02T20:44:27.546959Z,2025-03-02T20:44:27.546967Z,8
5298098,2025-03-02T20:44:27.546967Z,2025-03-02T20:44:27.546973Z,6
5298099,2025-03-02T20:44:27.546972Z,2025-03-02T20:44:27.546975Z,3
5298100,2025-03-02T20:44:27.546964Z,2025-03-02T20:44:27.546971Z,7
5298101,2025-03-02T20:44:33.800171Z,2025-03-02T20:44:33.800177Z,6
5298102,2025-03-02T20:44:33.800160Z,2025-03-02T20:44:33.800172Z,12
5298103,2025-03-02T20:44:33.800174Z,2025-03-02T20:44:33.800179Z,5
5298104,2025-03-02T20:44:33.800160Z,2025-03-02T20:44:33.800170Z,10
5298105,2025-03-02T20:44:40.226336Z,2025-03-02T20:44:40.226342Z,6
5298106,2025-03-02T20:44:40.226339Z,2025-03-02T20:44:40.226345Z,6
5298107,2025-03-02T20:44:40.226333Z,2025-03-02T20:44:40.226339Z,6
5298108,2025-03-02T20:44:40.382339Z,2025-03-02T20:44:40.382352Z,13
5298109,2025-03-02T20:44:40.382355Z,2025-03-02T20:44:40.382359Z,4
5298110,2025-03-02T20:44:40.382345Z,2025-03-02T20:44:40.382365Z,20
5298111,2025-03-02T20:44:40.382348Z,2025-03-02T20:44:40.382351Z,3
5298112,2025-03-02T20:44:40.382355Z,2025-03-02T20:44:40.382356Z,1
5298113,2025-03-02T20:44:40.382340Z,2025-03-02T20:44:40.382358Z,18
5298114,2025-03-02T20:44:45.788599Z,2025-03-02T20:44:45.788605Z,6
5298115,2025-03-02T20:44:45.788596Z,2025-03-02T20:44:45.788606Z,10
5298116,2025-03-02T20:44:52.010325Z,2025-03-02T20:44:52.010331Z,6
5298117,2025-03-02T20:44:52.010338Z,2025-03-02T20:44:52.010346Z,8
5298118,2025-03-02T20:44:52.010320Z,2025-03-02T20:44:52.010328Z,8
5298119,2025-03-02T20:45:09.888614Z,2025-03-02T20:45:09.888620Z,6
5298120,2025-03-02T20:45:09.888604Z,2025-03-02T20:45:09.888611Z,7
5298121,2025-03-02T20:45:15.610015Z,2025-03-02T20:45:15.610018Z,3
5298122,2025-03-02T20:45:15.610020Z,2025-03-02T20:45:15.610023Z,3
5298123,2025-03-02T20:45:15.610006Z,2025-03-02T20:45:15.610011Z,5
5298124,2025-03-02T20:45:15.610029Z,2025-03-02T20:45:15.610033Z,4
5298125,2025-03-02T20:45:15.610023Z,2025-03-02T20:45:15.610024Z,1
5298126,2025-03-02T20:45:15.610016Z,2025-03-02T20:45:15.610020Z,4
5298127,2025-03-02T20:45:15.610021Z,2025-03-02T20:45:15.610022Z,1
5298128,2025-03-02T20:45:15.610021Z,2025-03-02T20:45:15.610023Z,2
5298129,2025-03-02T20:45:15.610010Z,2025-03-02T20:45:15.610017Z,7
