Timestamp,ScratchPad(us),ScratchPadRate,Loading(us),LoadingRate,PadMix(us),PadMixRate,Hit(us),HitRate
2025-03-02T00:00:09.734994Z,5719756716,1159.57,5719756715,1159.37,41086763505,28607.97,8863,0.00
2025-03-02T00:00:14.735559Z,5719762590,1174.67,5719762590,1174.87,41086902648,27825.46,8863,0.00
2025-03-02T00:00:19.736465Z,5719768512,1184.19,5719768512,1184.19,41087045481,28561.42,8863,0.00
2025-03-02T00:00:24.738100Z,5719774440,1185.21,5719774440,1185.21,41087187266,28347.73,8863,0.00
2025-03-02T00:00:29.738457Z,5719780094,1130.72,5719780094,1130.72,41087327383,28021.40,8863,0.00
2025-03-02T00:00:34.739985Z,5719785669,1114.66,5719785669,1114.66,41087463322,27179.49,8863,0.00
2025-03-02T00:00:39.741199Z,5719791398,1145.52,5719791398,1145.52,41087601305,27589.90,8863,0.00
2025-03-02T00:00:44.741631Z,5719797238,1167.90,5719797238,1167.90,41087742021,28140.77,8863,0.00
2025-03-02T00:00:49.742831Z,5719802986,1149.32,5719802986,1149.32,41087881000,27789.13,8863,0.00
2025-03-02T00:00:54.743997Z,5719808810,1164.53,5719808810,1164.53,41088022032,28199.82,8863,0.00
2025-03-02T00:00:59.745419Z,5719814670,1171.67,5719814670,1171.67,41088162909,28167.39,8863,0.00
2025-03-02T00:01:04.747097Z,5719820505,1166.61,5719820505,1166.61,41088302087,27826.26,8863,0.00
2025-03-02T00:01:09.747571Z,5719826204,1139.69,5719826204,1139.69,41088440590,27697.97,8863,0.00
2025-03-02T00:01:14.749195Z,5719832024,1163.62,5719832024,1163.62,41088578238,27520.66,8863,0.00
2025-03-02T00:01:19.749658Z,5719837738,1142.69,5719837738,1142.69,41088716517,27653.24,8863,0.00
2025-03-02T00:01:24.750832Z,5719843749,1201.92,5719843748,1201.72,41088856755,28041.02,8863,0.00
2025-03-02T00:01:29.752119Z,5719849596,1169.10,5719849596,1169.30,41088997373,28116.36,8863,0.00
2025-03-02T00:01:34.752803Z,5719855429,1166.44,5719855429,1166.44,41089139575,28436.51,8863,0.00
2025-03-02T00:01:39.753611Z,5719861257,1165.41,5719861256,1165.21,41089280801,28240.64,8863,0.00
2025-03-02T00:01:44.754453Z,5719867154,1179.20,5719867153,1179.20,41089419119,27658.94,8863,0.00
2025-03-02T00:01:49.755627Z,5719872931,1155.13,5719872931,1155.33,41089559216,28012.82,8863,0.00
2025-03-02T00:01:54.756520Z,5719878782,1169.99,5719878782,1169.99,41089700524,28256.55,8863,0.00
2025-03-02T00:01:59.757448Z,5719884618,1166.98,5719884618,1166.98,41089841160,28121.98,8863,0.00
2025-03-02T00:02:04.758626Z,5719890454,1166.93,5719890454,1166.93,41089980297,27820.85,8863,0.00
2025-03-02T00:02:09.759661Z,5719893494,607.87,5719893494,607.87,41090055072,14951.91,8863,0.00
2025-03-02T00:02:14.760557Z,5719893494,0.00,5719893494,0.00,41090055072,0.00,8863,0.00
2025-03-02T00:02:19.762147Z,5719893494,0.00,5719893494,0.00,41090055072,0.00,8863,0.00
2025-03-02T00:02:24.762635Z,5719893494,0.00,5719893494,0.00,41090055072,0.00,8863,0.00
2025-03-02T00:02:29.763614Z,5719893494,0.00,5719893494,0.00,41090055072,0.00,8863,0.00
