TxSeq,StratTime,EndTime,TimeUse(us)
1459015,2025-03-02T00:13:29.462264Z,2025-03-02T00:13:29.462269Z,5
1459016,2025-03-02T00:13:29.462210Z,2025-03-02T00:13:29.462231Z,21
1459017,2025-03-02T00:13:35.615976Z,2025-03-02T00:13:35.615984Z,8
1459018,2025-03-02T00:13:35.615993Z,2025-03-02T00:13:35.615998Z,5
1459019,2025-03-02T00:13:35.616006Z,2025-03-02T00:13:35.616011Z,5
1459020,2025-03-02T00:13:35.615936Z,2025-03-02T00:13:35.615959Z,23
1459021,2025-03-02T00:13:53.509948Z,2025-03-02T00:13:53.509969Z,21
1459022,2025-03-02T00:14:05.540914Z,2025-03-02T00:14:05.540947Z,33
1459023,2025-03-02T00:14:11.483818Z,2025-03-02T00:14:11.483827Z,9
1459024,2025-03-02T00:14:11.483756Z,2025-03-02T00:14:11.483782Z,26
1459025,2025-03-02T00:14:18.036603Z,2025-03-02T00:14:18.036611Z,8
1459026,2025-03-02T00:14:18.036621Z,2025-03-02T00:14:18.036625Z,4
1459027,2025-03-02T00:14:18.036634Z,2025-03-02T00:14:18.036639Z,5
1459028,2025-03-02T00:14:18.036646Z,2025-03-02T00:14:18.036651Z,5
1459029,2025-03-02T00:14:18.036658Z,2025-03-02T00:14:18.036663Z,5
1459030,2025-03-02T00:14:18.036562Z,2025-03-02T00:14:18.036586Z,24
1459031,2025-03-02T00:14:23.485460Z,2025-03-02T00:14:23.485467Z,7
1459032,2025-03-02T00:14:23.485425Z,2025-03-02T00:14:23.485445Z,20
1459033,2025-03-02T00:14:35.410799Z,2025-03-02T00:14:35.410806Z,7
1459034,2025-03-02T00:14:35.410758Z,2025-03-02T00:14:35.410783Z,25
1459035,2025-03-02T00:14:48.120248Z,2025-03-02T00:14:48.120255Z,7
1459036,2025-03-02T00:14:48.120265Z,2025-03-02T00:14:48.120270Z,5
1459037,2025-03-02T00:14:48.120201Z,2025-03-02T00:14:48.120229Z,28
1459038,2025-03-02T00:15:05.712607Z,2025-03-02T00:15:05.712614Z,7
1459039,2025-03-02T00:15:05.712570Z,2025-03-02T00:15:05.712591Z,21
1459040,2025-03-02T00:15:11.524850Z,2025-03-02T00:15:11.524871Z,21
1459041,2025-03-02T00:15:18.101636Z,2025-03-02T00:15:18.101662Z,26
1459042,2025-03-02T00:15:18.101683Z,2025-03-02T00:15:18.101689Z,6
1459043,2025-03-02T00:15:18.099839Z,2025-03-02T00:15:18.099862Z,23
1459044,2025-03-02T00:15:24.086508Z,2025-03-02T00:15:24.086515Z,7
1459045,2025-03-02T00:15:24.086529Z,2025-03-02T00:15:24.086535Z,6
1459046,2025-03-02T00:15:24.086465Z,2025-03-02T00:15:24.086491Z,26
1459047,2025-03-02T00:15:36.103278Z,2025-03-02T00:15:36.103297Z,19
1459048,2025-03-02T00:15:41.739862Z,2025-03-02T00:15:41.739870Z,8
1459049,2025-03-02T00:15:41.739814Z,2025-03-02T00:15:41.739845Z,31
1459050,2025-03-02T00:15:47.998105Z,2025-03-02T00:15:47.998112Z,7
1459051,2025-03-02T00:15:47.998043Z,2025-03-02T00:15:47.998072Z,29
1459052,2025-03-02T00:16:00.414425Z,2025-03-02T00:16:00.414458Z,33
1459053,2025-03-02T00:16:05.596682Z,2025-03-02T00:16:05.596689Z,7
1459054,2025-03-02T00:16:05.596642Z,2025-03-02T00:16:05.596664Z,22
1459055,2025-03-02T00:16:12.028716Z,2025-03-02T00:16:12.028723Z,7
1459056,2025-03-02T00:16:12.028676Z,2025-03-02T00:16:12.028698Z,22
1459057,2025-03-02T00:16:24.046810Z,2025-03-02T00:16:24.046818Z,8
1459058,2025-03-02T00:16:24.046744Z,2025-03-02T00:16:24.046769Z,25
1459059,2025-03-02T00:16:24.302177Z,2025-03-02T00:16:24.302187Z,10
1459060,2025-03-02T00:16:24.301924Z,2025-03-02T00:16:24.301944Z,20
1459061,2025-03-02T00:16:41.994066Z,2025-03-02T00:16:41.994072Z,6
1459062,2025-03-02T00:16:41.994082Z,2025-03-02T00:16:41.994087Z,5
1459063,2025-03-02T00:16:41.994020Z,2025-03-02T00:16:41.994047Z,27
1459064,2025-03-02T00:16:53.836792Z,2025-03-02T00:16:53.836798Z,6
1459065,2025-03-02T00:16:53.836807Z,2025-03-02T00:16:53.836812Z,5
1459066,2025-03-02T00:16:53.836749Z,2025-03-02T00:16:53.836773Z,24
1459067,2025-03-02T00:17:00.211108Z,2025-03-02T00:17:00.211114Z,6
1459068,2025-03-02T00:17:00.211124Z,2025-03-02T00:17:00.211129Z,5
1459069,2025-03-02T00:17:00.211137Z,2025-03-02T00:17:00.211142Z,5
1459070,2025-03-02T00:17:00.211149Z,2025-03-02T00:17:00.211154Z,5
1459071,2025-03-02T00:17:00.211067Z,2025-03-02T00:17:00.211090Z,23
1459072,2025-03-02T00:17:05.819249Z,2025-03-02T00:17:05.819257Z,8
1459073,2025-03-02T00:17:05.819267Z,2025-03-02T00:17:05.819273Z,6
1459074,2025-03-02T00:17:05.819281Z,2025-03-02T00:17:05.819290Z,9
1459075,2025-03-02T00:17:05.819204Z,2025-03-02T00:17:05.819232Z,28
1459076,2025-03-02T00:17:17.570734Z,2025-03-02T00:17:17.570741Z,7
1459077,2025-03-02T00:17:17.570681Z,2025-03-02T00:17:17.570705Z,24
1459078,2025-03-02T00:17:35.418340Z,2025-03-02T00:17:35.418360Z,20
1459079,2025-03-02T00:17:47.546359Z,2025-03-02T00:17:47.546382Z,23
1459080,2025-03-02T00:17:53.619216Z,2025-03-02T00:17:53.619223Z,7
1459081,2025-03-02T00:17:53.619232Z,2025-03-02T00:17:53.619239Z,7
1459082,2025-03-02T00:17:53.619165Z,2025-03-02T00:17:53.619192Z,27
1459083,2025-03-02T00:17:59.736300Z,2025-03-02T00:17:59.736307Z,7
1459084,2025-03-02T00:17:59.736328Z,2025-03-02T00:17:59.736335Z,7
1459085,2025-03-02T00:17:59.736255Z,2025-03-02T00:17:59.736282Z,27
1459086,2025-03-02T00:18:05.512861Z,2025-03-02T00:18:05.512876Z,15
1459087,2025-03-02T00:18:05.510413Z,2025-03-02T00:18:05.510447Z,34
1459088,2025-03-02T00:18:11.502944Z,2025-03-02T00:18:11.502964Z,20
1459089,2025-03-02T00:18:17.432569Z,2025-03-02T00:18:17.432598Z,29
1459090,2025-03-02T00:18:23.573483Z,2025-03-02T00:18:23.573489Z,6
1459091,2025-03-02T00:18:23.573447Z,2025-03-02T00:18:23.573467Z,20
1459092,2025-03-02T00:18:29.638108Z,2025-03-02T00:18:29.638128Z,20
1459093,2025-03-02T00:18:35.749746Z,2025-03-02T00:18:35.749753Z,7
1459094,2025-03-02T00:18:35.749761Z,2025-03-02T00:18:35.749766Z,5
1459095,2025-03-02T00:18:35.749785Z,2025-03-02T00:18:35.749790Z,5
