TxSeq,StratTime,EndTime,TimeUse(sec)
1459026,2025-03-02T00:14:20.138207Z,2025-03-02T00:14:23.382625Z,3
1459028,2025-03-02T00:14:23.283936Z,2025-03-02T05:21:34.071471Z,18430
1459037,2025-03-02T00:14:51.060267Z,2025-03-02T06:05:24.996323Z,21033
1459038,2025-03-02T00:15:06.432837Z,2025-03-02T00:15:13.534592Z,7
1459039,2025-03-02T00:15:06.725367Z,2025-03-02T00:15:13.806238Z,7
1459040,2025-03-02T00:15:13.661339Z,2025-03-02T00:15:19.949752Z,6
1459041,2025-03-02T00:15:20.037474Z,2025-03-02T00:15:23.183761Z,3
1459044,2025-03-02T00:15:30.336711Z,2025-03-02T00:15:36.891266Z,6
1459048,2025-03-02T00:15:44.890474Z,2025-03-02T00:15:48.207617Z,3
1459050,2025-03-02T00:15:55.628692Z,2025-03-02T00:15:59.111570Z,3
1459056,2025-03-02T00:16:13.851426Z,2025-03-02T00:16:17.050584Z,3
1459064,2025-03-02T00:16:56.229122Z,2025-03-02T15:43:27.046636Z,55590
1459068,2025-03-02T00:17:03.314091Z,2025-03-02T00:17:06.332674Z,3
1459073,2025-03-02T00:17:09.364863Z,2025-03-02T00:17:12.501013Z,3
1459074,2025-03-02T00:17:12.565573Z,2025-03-02T00:17:12.702833Z,0
1459075,2025-03-02T00:17:12.674746Z,2025-03-02T06:50:34.686363Z,23602
1459076,2025-03-02T00:17:18.779826Z,2025-03-02T00:17:24.839557Z,6
1459077,2025-03-02T00:17:18.794420Z,2025-03-02T00:17:24.847499Z,6
1459080,2025-03-02T00:17:54.610980Z,2025-03-02T00:17:58.031587Z,3
1459081,2025-03-02T00:17:54.792270Z,2025-03-02T00:17:58.063540Z,3
1459086,2025-03-02T00:18:06.583533Z,2025-03-02T00:21:13.017656Z,186
1459089,2025-03-02T00:18:20.223507Z,2025-03-02T00:18:23.597240Z,3
1459090,2025-03-02T00:18:24.777986Z,2025-03-02T00:18:31.234590Z,6
1459091,2025-03-02T00:18:31.245492Z,2025-03-02T18:22:54.438511Z,65063
1459094,2025-03-02T00:18:37.957287Z,2025-03-02T00:18:45.065207Z,7
1459096,2025-03-02T00:18:38.286510Z,2025-03-02T00:18:41.979265Z,3
1459101,2025-03-02T00:19:01.141026Z,2025-03-02T00:19:07.302525Z,6
1459102,2025-03-02T00:19:07.276873Z,2025-03-02T00:19:13.489350Z,6
1459107,2025-03-02T00:19:13.533429Z,2025-03-02T00:19:19.578428Z,6
1459113,2025-03-02T00:19:25.671806Z,2025-03-02T00:19:28.722913Z,3
1459114,2025-03-02T00:19:35.518367Z,2025-03-02T00:19:41.822361Z,6
1459117,2025-03-02T00:19:41.775319Z,2025-03-02T00:19:47.889358Z,6
1459126,2025-03-02T00:20:08.824688Z,2025-03-02T00:20:11.982305Z,3
1459135,2025-03-02T00:20:53.894985Z,2025-03-02T19:21:08.709364Z,68414
1459137,2025-03-02T00:20:56.950465Z,2025-03-02T00:20:59.982887Z,3
1459141,2025-03-02T00:21:03.095815Z,2025-03-02T00:21:06.174868Z,3
1459143,2025-03-02T00:21:03.069982Z,2025-03-02T00:21:06.127263Z,3
1459144,2025-03-02T00:21:06.251076Z,2025-03-02T00:21:09.474528Z,3
1459151,2025-03-02T00:21:40.857942Z,2025-03-02T00:21:44.030426Z,3
1459158,2025-03-02T00:21:57.535324Z,2025-03-02T00:22:00.832728Z,3
1459159,2025-03-02T00:22:00.688482Z,2025-03-02T00:22:07.833031Z,7
1459160,2025-03-02T00:22:04.606073Z,2025-03-02T00:22:07.847424Z,3
1459167,2025-03-02T00:22:42.750472Z,2025-03-02T00:22:48.899531Z,6
1459170,2025-03-02T00:22:48.972670Z,2025-03-02T09:02:17.198044Z,31168
1459171,2025-03-02T00:22:55.236466Z,2025-03-02T14:25:29.336731Z,50554
1459173,2025-03-02T00:23:01.363958Z,2025-03-02T00:23:07.402565Z,6
1459174,2025-03-02T00:23:01.338598Z,2025-03-02T00:23:07.390718Z,6
1459175,2025-03-02T00:23:20.211092Z,2025-03-02T00:23:23.289354Z,3
1459179,2025-03-02T00:23:20.250686Z,2025-03-02T00:23:23.303201Z,3
1459181,2025-03-02T00:23:36.193306Z,2025-03-02T00:23:36.206042Z,0
1459186,2025-03-02T00:24:02.409730Z,2025-03-02T00:24:05.453534Z,3
1459187,2025-03-02T00:24:02.405195Z,2025-03-02T00:24:05.438073Z,3
1459188,2025-03-02T00:24:02.386698Z,2025-03-02T00:24:05.426806Z,3
1459193,2025-03-02T00:24:38.186534Z,2025-03-02T02:30:41.651220Z,7563
1459195,2025-03-02T00:24:51.727014Z,2025-03-02T00:24:54.746190Z,3
1459196,2025-03-02T00:24:51.639493Z,2025-03-02T00:24:54.743532Z,3
1459197,2025-03-02T00:25:01.359938Z,2025-03-02T00:25:07.695216Z,6
1459201,2025-03-02T00:25:04.525416Z,2025-03-02T00:25:07.680778Z,3
1459202,2025-03-02T00:25:04.580204Z,2025-03-02T19:43:23.094352Z,69498
1459205,2025-03-02T00:25:10.914215Z,2025-03-02T00:25:17.130272Z,6
1459214,2025-03-02T00:25:44.501323Z,2025-03-02T00:25:47.742523Z,3
1459216,2025-03-02T00:25:47.769444Z,2025-03-02T00:27:05.557983Z,77
1459222,2025-03-02T00:26:01.088259Z,2025-03-02T13:17:48.410480Z,46307
1459226,2025-03-02T00:26:28.078941Z,2025-03-02T00:26:31.141920Z,3
1459230,2025-03-02T00:26:31.130780Z,2025-03-02T00:26:34.190515Z,3
1459231,2025-03-02T00:26:48.239540Z,2025-03-02T00:26:51.627247Z,3
1459257,2025-03-02T00:28:37.647364Z,2025-03-02T00:28:43.753701Z,6
1459261,2025-03-02T00:28:50.042934Z,2025-03-02T00:28:53.055568Z,3
1459262,2025-03-02T00:28:59.982416Z,2025-03-02T01:21:03.438953Z,3123
1459264,2025-03-02T00:29:37.397993Z,2025-03-02T00:29:43.504661Z,6
1459271,2025-03-02T00:29:50.185938Z,2025-03-02T00:29:53.274285Z,3
1459272,2025-03-02T00:29:50.196879Z,2025-03-02T00:29:53.332304Z,3
1459273,2025-03-02T00:29:56.371554Z,2025-03-02T00:30:02.676587Z,6
1459278,2025-03-02T00:30:10.439698Z,2025-03-02T08:42:20.346340Z,29529
1459293,2025-03-02T00:31:02.413217Z,2025-03-02T00:31:08.851398Z,6
1459294,2025-03-02T00:31:09.034683Z,2025-03-02T03:24:48.061757Z,10419
1459297,2025-03-02T00:31:16.885267Z,2025-03-02T00:31:20.319372Z,3
1459298,2025-03-02T00:31:16.571011Z,2025-03-02T00:31:20.307997Z,3
